Time,Amplitude,Frequency,Device,Channel,Activate
1000667500,72.04635061,102.02060027,AOM,1,
1000667500,72.04635061,102.02060027,AOM,5,
1000667500,72.04635061,102.02060027,AOM,7,
1000667500,72.04635061,102.02060027,AOM,9,
1000675000,71.86645969,101.94064875,AOM,1,
1000675000,71.86645969,101.94064875,AOM,5,
1000675000,71.86645969,101.94064875,AOM,7,
1000675000,71.86645969,101.94064875,AOM,9,
1000682500,71.68701793,101.86089686,AOM,1,
1000682500,71.68701793,101.86089686,AOM,5,
1000682500,71.68701793,101.86089686,AOM,7,
1000682500,71.68701793,101.86089686,AOM,9,
1000690000,71.50802423,101.7813441,AOM,1,
1000690000,71.50802423,101.7813441,AOM,5,
1000690000,71.50802423,101.7813441,AOM,7,
1000690000,71.50802423,101.7813441,AOM,9,
1000697500,71.32947744,101.70198997,AOM,1,
1000697500,71.32947744,101.70198997,AOM,5,
1000697500,71.32947744,101.70198997,AOM,7,
1000697500,71.32947744,101.70198997,AOM,9,
1000705000,71.15137647,101.62283399,AOM,1,
1000705000,71.15137647,101.62283399,AOM,5,
1000705000,71.15137647,101.62283399,AOM,7,
1000705000,71.15137647,101.62283399,AOM,9,
1000712500,70.97372019,101.54387564,AOM,1,
1000712500,70.97372019,101.54387564,AOM,5,
1000712500,70.97372019,101.54387564,AOM,7,
1000712500,70.97372019,101.54387564,AOM,9,
1000720000,70.7965075,101.46511444,AOM,1,
1000720000,70.7965075,101.46511444,AOM,5,
1000720000,70.7965075,101.46511444,AOM,7,
1000720000,70.7965075,101.46511444,AOM,9,
1000727500,70.61973728,101.3865499,AOM,1,
1000727500,70.61973728,101.3865499,AOM,5,
1000727500,70.61973728,101.3865499,AOM,7,
1000727500,70.61973728,101.3865499,AOM,9,
1000735000,70.44340844,101.30818153,AOM,1,
1000735000,70.44340844,101.30818153,AOM,5,
1000735000,70.44340844,101.30818153,AOM,7,
1000735000,70.44340844,101.30818153,AOM,9,
1000742500,70.26751987,101.23000883,AOM,1,
1000742500,70.26751987,101.23000883,AOM,5,
1000742500,70.26751987,101.23000883,AOM,7,
1000742500,70.26751987,101.23000883,AOM,9,
1000750000,70.09207048,101.15203132,AOM,1,
1000750000,70.09207048,101.15203132,AOM,5,
1000750000,70.09207048,101.15203132,AOM,7,
1000750000,70.09207048,101.15203132,AOM,9,
1000757500,69.91705916,101.07424851,AOM,1,
1000757500,69.91705916,101.07424851,AOM,5,
1000757500,69.91705916,101.07424851,AOM,7,
1000757500,69.91705916,101.07424851,AOM,9,
1000765000,69.74248482,100.99665992,AOM,1,
1000765000,69.74248482,100.99665992,AOM,5,
1000765000,69.74248482,100.99665992,AOM,7,
1000765000,69.74248482,100.99665992,AOM,9,
1000772500,69.56834637,100.91926505,AOM,1,
1000772500,69.56834637,100.91926505,AOM,5,
1000772500,69.56834637,100.91926505,AOM,7,
1000772500,69.56834637,100.91926505,AOM,9,
1000780000,69.39464272,100.84206343,AOM,1,
1000780000,69.39464272,100.84206343,AOM,5,
1000780000,69.39464272,100.84206343,AOM,7,
1000780000,69.39464272,100.84206343,AOM,9,
1000787500,69.22137279,100.76505457,AOM,1,
1000787500,69.22137279,100.76505457,AOM,5,
1000787500,69.22137279,100.76505457,AOM,7,
1000787500,69.22137279,100.76505457,AOM,9,
1000795000,69.0485355,100.688238,AOM,1,
1000795000,69.0485355,100.688238,AOM,5,
1000795000,69.0485355,100.688238,AOM,7,
1000795000,69.0485355,100.688238,AOM,9,
1000802500,68.87612976,100.61161322,AOM,1,
1000802500,68.87612976,100.61161322,AOM,5,
1000802500,68.87612976,100.61161322,AOM,7,
1000802500,68.87612976,100.61161322,AOM,9,
1000810000,68.70415449,100.53517977,AOM,1,
1000810000,68.70415449,100.53517977,AOM,5,
1000810000,68.70415449,100.53517977,AOM,7,
1000810000,68.70415449,100.53517977,AOM,9,
1000817500,68.53260863,100.45893717,AOM,1,
1000817500,68.53260863,100.45893717,AOM,5,
1000817500,68.53260863,100.45893717,AOM,7,
1000817500,68.53260863,100.45893717,AOM,9,
1000825000,68.36149109,100.38288493,AOM,1,
1000825000,68.36149109,100.38288493,AOM,5,
1000825000,68.36149109,100.38288493,AOM,7,
1000825000,68.36149109,100.38288493,AOM,9,
1000832500,68.19080081,100.30702258,AOM,1,
1000832500,68.19080081,100.30702258,AOM,5,
1000832500,68.19080081,100.30702258,AOM,7,
1000832500,68.19080081,100.30702258,AOM,9,
1000840000,68.02053673,100.23134966,AOM,1,
1000840000,68.02053673,100.23134966,AOM,5,
1000840000,68.02053673,100.23134966,AOM,7,
1000840000,68.02053673,100.23134966,AOM,9,
1000847500,67.85069778,100.15586568,AOM,1,
1000847500,67.85069778,100.15586568,AOM,5,
1000847500,67.85069778,100.15586568,AOM,7,
1000847500,67.85069778,100.15586568,AOM,9,
1000855000,67.68128289,100.08057017,AOM,1,
1000855000,67.68128289,100.08057017,AOM,5,
1000855000,67.68128289,100.08057017,AOM,7,
1000855000,67.68128289,100.08057017,AOM,9,
1000862500,67.51229101,100.00546267,AOM,1,
1000862500,67.51229101,100.00546267,AOM,5,
1000862500,67.51229101,100.00546267,AOM,7,
1000862500,67.51229101,100.00546267,AOM,9,
1000870000,67.34372108,99.9305427,AOM,1,
1000870000,67.34372108,99.9305427,AOM,5,
1000870000,67.34372108,99.9305427,AOM,7,
1000870000,67.34372108,99.9305427,AOM,9,
1000877500,67.17557205,99.8558098,AOM,1,
1000877500,67.17557205,99.8558098,AOM,5,
1000877500,67.17557205,99.8558098,AOM,7,
