Time,Amplitude,Frequency
9945000,,106.6
9960000,,106.6142857
9975000,,106.6285714
9990000,,106.6428571
10005000,,106.6571429
10020000,,106.6714286
10035000,,106.6857143
10050000,,106.7
10065000,,106.7142857
10080000,,106.7285714
10095000,,106.7428571
10110000,,106.7571429
10125000,,106.7714286
10140000,,106.7857143
10155000,,106.8
10170000,,106.8142857
10185000,,106.8285714
10200000,,106.8428571
10215000,,106.8571429
10230000,,106.8714286
10245000,,106.8857143
10260000,,106.9
10275000,,106.9142857
10290000,,106.9285714
10305000,,106.9428571
10320000,,106.9571429
10335000,,106.9714286
10350000,,106.9857143
10365000,,107
10380000,,107.0142857
10395000,,107.0285714
10410000,,107.0428571
10425000,,107.0571429
10440000,,107.0714286
10455000,,107.0857143
10470000,,107.1
10485000,,107.1142857
10500000,,107.1285714
10515000,,107.1428571
10530000,,107.1571429
10545000,,107.1714286
10560000,,107.1857143
10575000,,107.2
10590000,,107.2142857
10605000,,107.2285714
10620000,,107.2428571
10635000,,107.2571429
10650000,,107.2714286
10665000,,107.2857143
10680000,,107.3
10695000,,107.3142857
10710000,,107.3285714
10725000,,107.3428571
10740000,,107.3571429
10755000,,107.3714286
10770000,,107.3857143
10785000,,107.4
10800000,,107.4142857
10815000,,107.4285714
10830000,,107.4428571
10845000,,107.4571429
10860000,,107.4714286
10875000,,107.4857143
10890000,,107.5
10905000,,107.5142857
10920000,,107.5285714
10935000,,107.5428571
10950000,,107.5571429
10965000,,107.5714286
10980000,,107.5857143
10995000,,107.6
11010000,,107.6142857
11025000,,107.6285714
11040000,,107.6428571
11055000,,107.6571429
11070000,,107.6714286
11085000,,107.6857143
11100000,,107.7
11115000,,107.7142857
11130000,,107.7285714
11145000,,107.7428571
11160000,,107.7571429
11175000,,107.7714286
11190000,,107.7857143
11205000,,107.8
11220000,,107.8142857
11235000,,107.8285714
11250000,,107.8428571
11265000,,107.8571429
11280000,,107.8714286
11295000,,107.8857143
11310000,,107.9
11325000,,107.9142857
11340000,,107.9285714
11355000,,107.9428571
11370000,,107.9571429
11385000,,107.9714286
11400000,,107.9857143
11415000,,108
11430000,,108.0142857
11445000,,108.0285714
11460000,,108.0428571
11475000,,108.0571429
11490000,,108.0714286
11505000,,108.0857143
11520000,,108.1
11535000,,108.1142857
11550000,,108.1285714
11565000,,108.1428571
11580000,,108.1571429
11595000,,108.1714286
11610000,,108.1857143
11625000,,108.2
11640000,,108.2142857
11655000,,108.2285714
11670000,,108.2428571
11685000,,108.2571429
11700000,,108.2714286
11715000,,108.2857143
11730000,,108.3
11745000,,108.3142857
11760000,,108.3285714
11775000,,108.3428571
11790000,,108.3571429
